# threshold=0.001
# window=5
x0,x1,y,convergence_iter
0.31940388883889725,0.7629593742689353,1.3226770395454077e-79,0
0.5743292145098291,0.879898104984359,1.0330782375230975e-46,0
0.7310236309563586,0.7329998764152272,7.710875114502849e-16,0
0.8403534169072556,0.26473161399676703,3.341771007676023e-124,0
0.6501140597987644,0.6815263520602101,-0.0036060626443634764,0
0.41043713662518566,0.14755429902998185,-2.1592490357331095e-54,0
0.31269115679477755,0.07872277794971883,-2.0890932702320842e-91,0
0.6834181688515067,0.8610574643936101,2.5350011535584046e-40,0
0.08250725182080587,0.403487506426324,3.6067711901420254e-81,0
0.8838898288181171,0.5822539743824439,6.229856468168659e-48,0
0.202514,0.586723,-3.828741202827685e-53,1
0.489595,0.116877,-1.7334156414975705e-68,2
0.020026,0.996624,0.0,3
0.956717,0.004359,5.025e-321,4
0.985825,0.98681,7.544962382682488e-180,5
0.044772,0.931757,-1.9408268030761353e-282,6
0.951495,0.745322,-8.619992148759635e-84,7
0.549305,0.180901,-1.0347496107335308e-52,8
0.15,0.85,2.8556640528793443e-181,9
0.0,0.746233,-7.049021850284313e-198,10
0.736641,0.749167,-5.001337309712591e-20,11
0.343316,0.742014,-4.6220574050988755e-67,12
0.25464065476376385,0.01755236336662891,-0.00012687519584786056,13
0.7896181427945539,0.023352096328185912,-0.00012482318199858594,14
0.45037093625818514,0.627328935090678,-9.337033903345258e-05,15
0.11607264050691624,0.6865899134926068,-7.47074485239432e-05,16
0.37728416310462265,0.702540501534807,-6.898476465232466e-05,17
0.9154882975880418,0.06835320030995862,-6.688344750366058e-05,18
0.5190597909082704,0.1828377798688171,-4.959706277234637e-05,19
0.2848404943774676,0.47116789893281463,-8.678437039476118e-05,20
0.7062422271564962,0.5414076073475852,0.00018051354146399981,21
0.17652803200550826,0.6724604980250288,-1.308105209067683e-05,22
0.22793516254194168,0.9841103190364978,-7.256183293794193e-05,23
0.7624586857406905,0.5296597239456199,-7.430345218782815e-05,24
0.8158331249906178,0.6376882468959355,-7.095733299250907e-05,25
0.8621276172654506,0.06252629574284574,3.283586034047274e-06,26
0.9994137257706666,0.17935601028924097,-2.3787276019967795e-05,27
0.4296568127389351,0.5498685627762052,-4.7356173198118376e-05,28
0.06337497047276774,0.770158211757096,1.8447226892964047e-06,29
0.47206694510999925,0.03892996332566745,-4.322964120714046e-05,30
0.9338750175279049,0.014381446072085025,-3.742227334866893e-05,31
0.3601364074715191,0.17070836331248018,-3.992958456470716e-05,32
0.13271575404306035,0.8773504531328387,-4.239729158879938e-05,33
0.09839564971339732,0.05276525785960262,-4.0226290746410336e-05,34
0.3938644056541585,0.27528821345186016,-3.3902694446182174e-05,35
0.6949818861265425,0.2532723835227151,0.0002650578338999497,36
0.9000186418481051,0.5088905555910559,-3.833436791898093e-05,37
0.5334610919763215,0.8901411373960146,-4.022576842105018e-05,38
0.5031362585800877,0.6360960464095422,-1.8999355728555484e-05,39
0.9717820827209607,0.858177053157164,3.5306831839552647e-06,40
0.5614845879595237,0.1811832790500828,7.689596877956353e-05,41
0.2697496115169896,0.022425889162055124,-0.00011692096859282813,42
